,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Albania,0.0,95.4,92.1,84.5,68.3,0.6,6.3,-1.1,-1.6,-0.3,12.1,4.3,1.3,0.7,0.0,1.2,31.3,0.0,5.2,10884.08,13.9,71.7
Algeria,5.0,84.9,87.0,81.0,66.0,0.6,10.4,7.9,-5.3,0.2,14.9,66.9,1.0,1.2,-0.1,3.0,0.2,0.0,27.3,14119.54,11.0,8.0
Angola,16.5,47.8,49.1,67.1,44.7,0.7,15.6,14.3,-6.0,-1.0,8.1,0.5,0.8,0.6,-0.1,0.7,52.0,0.0,-2.4,7271.10,6.9,40.7
Argentina,5.0,98.6,95.5,100.4,67.3,0.7,19.2,4.3,-2.1,-1.1,13.7,4.3,2.2,1.9,0.0,4.4,8.1,2.6,8.4,22299.26,7.2,45.1
Armenia,6.7,99.7,89.5,78.3,66.5,0.7,6.7,0.9,-1.1,0.0,30.6,37.9,1.3,1.0,0.0,1.8,7.0,0.0,4.1,8153.61,17.3,41.3
Australia,0.0,100.0,100.0,115.5,71.7,0.7,10.3,6.6,9.6,-0.4,18.2,3.2,4.9,5.5,0.1,16.9,5.5,2.9,10.3,46562.41,5.2,34.1
Austria,0.0,100.0,100.0,93.9,71.6,0.7,8.3,1.6,9.0,0.3,33.5,4.5,2.2,3.9,0.0,7.6,29.9,19.9,12.8,46640.27,4.3,84.2
Azerbaijan,5.0,84.5,84.7,71.1,64.3,0.7,2.9,5.2,-5.1,2.9,9.6,34.5,1.0,1.5,0.0,3.1,1.9,0.5,12.7,17762.04,5.2,16.0
Bangladesh,17.2,84.8,57.7,59.2,61.6,0.7,6.9,4.8,-5.3,-0.2,0.9,2.9,0.5,0.2,-0.2,0.4,27.3,0.1,26.4,3390.79,4.5,33.9
Belarus,0.0,99.7,94.4,100.2,64.6,0.7,5.3,-0.4,-5.0,1.0,10.0,2.6,2.0,3.2,-0.1,6.1,5.2,0.0,24.2,18246.25,5.9,40.4
Belgium,0.0,100.0,99.5,95.7,70.7,0.8,6.7,3.6,8.0,0.3,17.9,32.8,2.7,4.9,0.1,8.3,6.2,4.4,10.4,43074.23,7.5,106.7
